VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_G,Total_H
20250113-r11190, 174, 0, 0, 0, 7, 19, 20, 29, 86, 677, 12, 1
20250714-r11216, 88, 1, 0, 10, 24, 58, 46, 94, 200, 1122, 3, 2
20250908-r11224, 77, 1, 1, 3, 10, 36, 38, 56, 83, 1069, 5, 0
20250227-r41196, 97, 0, 0, 6, 5, 22, 38, 105, 181, 479, 27, 5
20250807-r41219, 74, 1, 2, 2, 5, 20, 31, 75, 169, 536, 7, 4
20250626-r41213, 58, 0, 2, 9, 13, 49, 85, 194, 282, 387, 10, 2
20250217-r11195, 258, 0, 2, 10, 9, 20, 26, 32, 62, 780, 1, 0
20250428-r11205, 268, 0, 1, 8, 16, 22, 28, 45, 127, 776, 22, 0
20250102-r41188, 37, 4, 8, 26, 25, 35, 23, 45, 94, 320, 98, 21
20250731-r41218, 65, 5, 0, 6, 9, 41, 45, 108, 205, 618, 37, 3
20250922-r11226, 98, 0, 0, 5, 8, 10, 10, 29, 70, 856, 9, 0
20250804-r11219, 130, 0, 1, 6, 9, 21, 28, 39, 109, 1083, 15, 0
20250410-r41202, 103, 0, 0, 3, 4, 14, 27, 58, 167, 765, 21, 11
20250310-r11198, 123, 1, 1, 5, 11, 25, 24, 67, 173, 536, 3, 0
20250313-r41198, 40, 4, 3, 32, 40, 75, 101, 161, 262, 333, 83, 13
20250724-r41217, 63, 2, 2, 14, 25, 30, 102, 255, 381, 255, 28, 6
20251030-r41231, 111, 2, 4, 8, 6, 18, 43, 78, 200, 478, 48, 1
20250107-r11189, 118, 4, 9, 43, 91, 167, 123, 138, 131, 657, 5, 0
20251113-r41233, 160, 4, 2, 19, 9, 15, 31, 152, 279, 490, 104, 0
20251208-r11237, 121, 1, 1, 2, 4, 5, 20, 27, 154, 1028, 3, 0
20250813-r41220, 21, 3, 1, 15, 15, 32, 36, 53, 101, 505, 39, 0
20250422-r11204, 165, 4, 7, 13, 26, 35, 48, 66, 186, 1550, 5, 0
20250224-r11196, 143, 1, 0, 1, 11, 33, 33, 73, 176, 563, 20, 20
20250210-r11194, 228, 1, 0, 13, 27, 31, 46, 59, 80, 982, 3, 0
20250901-r11223, 114, 0, 0, 3, 9, 25, 42, 54, 104, 1086, 0, 0
20250303-r11197, 113, 0, 1, 3, 8, 30, 27, 30, 96, 818, 0, 1
20250203-r11193, 219, 4, 2, 18, 23, 56, 8, 190, 35, 297, 121, 0
20250918-r41225, 14, 8, 3, 18, 15, 30, 29, 55, 110, 533, 41, 0
20251201-r11236, 135, 0, 0, 1, 9, 13, 19, 78, 300, 821, 1, 0
20250526-r11209, 196, 1, 4, 47, 86, 187, 187, 147, 124, 479, 2, 11
20251103-r11232, 55, 0, 0, 4, 10, 14, 24, 65, 110, 699, 0, 0
20250925-r41226, 85, 3, 2, 13, 16, 26, 34, 78, 173, 615, 30, 0
20250213-r41194, 89, 1, 5, 10, 23, 31, 44, 80, 136, 409, 61, 9
20250127-r11192, 113, 0, 2, 5, 4, 15, 10, 26, 95, 838, 4, 0
20250120-r11191, 172, 2, 1, 4, 17, 46, 47, 39, 84, 781, 1, 0
20251009-r41228, 115, 0, 2, 7, 4, 22, 42, 132, 133, 573, 29, 1
20250612-r41211, 66, 5, 4, 6, 5, 26, 25, 128, 136, 489, 64, 5
20251016-r41229, 62, 1, 1, 7, 16, 24, 52, 109, 211, 317, 14, 0
20250507-r41206, 161, 2, 4, 20, 43, 68, 83, 110, 156, 658, 67, 1
20250414-r11203, 184, 3, 8, 55, 128, 203, 181, 169, 156, 777, 3, 0
20251204-r41236, 105, 1, 1, 1, 3, 9, 23, 96, 184, 613, 39, 0
20250403-r41201, 69, 3, 2, 7, 29, 59, 58, 105, 181, 700, 38, 5
20250220-r41195, 74, 3, 7, 14, 27, 35, 47, 67, 180, 488, 38, 0
20251002-r41227, 152, 2, 7, 13, 27, 34, 58, 95, 206, 404, 21, 0
20251023-r41230, 32, 0, 2, 6, 5, 19, 25, 60, 196, 435, 32, 0
20251110-r11233, 64, 0, 0, 2, 12, 24, 18, 56, 138, 542, 16, 0
20251013-r11229, 176, 0, 1, 5, 6, 15, 23, 47, 174, 851, 13, 0
20251106-r41232, 85, 3, 1, 22, 21, 45, 40, 129, 184, 490, 143, 0
20250331-r11201, 112, 0, 0, 1, 1, 5, 23, 77, 198, 1247, 13, 5
20250728-r11218, 53, 0, 1, 12, 13, 27, 32, 45, 145, 1064, 21, 0
20250522-r41208, 85, 3, 0, 5, 9, 35, 70, 106, 133, 164, 12, 0
20250821-r41221, 115, 3, 3, 15, 23, 57, 72, 111, 181, 498, 88, 1
20250828-r41222, 39, 1, 3, 5, 8, 8, 24, 77, 185, 700, 13, 1
20250424-r41204, 34, 1, 0, 3, 5, 17, 36, 91, 225, 872, 13, 0
20251006-r11228, 53, 0, 0, 1, 2, 6, 6, 15, 30, 974, 5, 0
20250717-r41216, 25, 4, 3, 13, 6, 27, 37, 89, 167, 520, 36, 0
20250605-r41210, 30, 0, 0, 5, 13, 39, 58, 78, 175, 710, 24, 0
