VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20220818-vo2230,0,0,0,0,1,2,4,24,299,89,0,0,0,0,2,0,0,1033
20220915-vr2205,77,0,1,9,38,133,154,642,2990,2082,0,0,0,0,45,24,1302,1016
20221020-vo2293,0,0,0,0,0,7,30,69,319,120,0,0,0,0,11,0,0,250
20221109-vr2206,4,0,0,0,2,6,5,66,243,161,0,0,0,0,1,0,127,0
20221214-vo2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892
20230125-vr2301,5,0,1,1,3,15,41,179,422,371,0,0,0,0,48,36,2,0
20230322-vo3081,1,0,0,1,8,25,60,213,237,77,0,0,0,0,87,32,0,0
20230504-vo3124,0,1,1,0,6,13,64,192,307,223,0,0,0,0,58,3,0,284
20230531-vr2302,87,0,1,4,14,41,82,254,481,498,0,0,0,0,80,67,807,0
20230614-vo3165,0,0,0,1,6,18,71,179,105,71,0,0,0,0,24,1,0,0
20230629-vo3180,0,0,0,0,1,9,47,111,268,155,0,0,0,0,30,3,3,419
20230703-r11110,536,0,0,0,0,0,1,6,20,405,0,0,0,0,0,0,30,0
20230706-r41110,0,0,0,0,1,6,18,57,89,116,0,0,0,0,7,0,0,486
20230710-r11111,95,0,0,0,0,0,4,18,104,745,0,0,0,0,0,0,18,0
20230713-r41111,37,0,1,0,1,16,14,34,145,526,0,0,0,0,5,13,20,18
20230717-r11112,100,0,0,1,0,2,4,5,43,625,0,0,0,0,0,0,22,0
20230720-r41112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230724-r11113,82,0,0,0,1,20,15,33,107,860,0,0,0,0,6,4,2,20
20230726-vo3207,0,0,0,0,0,4,21,41,95,90,0,0,0,0,0,0,0,0
20230727-r41113,71,0,0,0,0,7,17,61,247,479,0,0,0,0,7,6,3,22
20230814-r11116,117,0,0,0,0,0,5,10,59,541,0,0,0,0,4,2,2,30
20230817-r41116,99,0,0,0,0,2,1,10,60,488,0,0,0,0,2,4,0,34
20230822-r11117,153,0,0,0,0,1,1,7,41,1058,0,0,0,0,0,9,8,12
20230828-r11118,983,0,0,0,0,0,1,0,0,2,0,0,0,0,1,3,0,0
20230831-r41118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
20230905-r11119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,0
20230907-vo3250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,0
20230911-r11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,994
20230914-r41120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778
20230918-r11121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0
20230920-vo3263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0
20230926-r11122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210
20230928-r41122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840
20231002-r11123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,902
20231005-vo3278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,0
20231009-r11124,95,0,0,0,1,3,3,15,59,387,0,0,0,0,5,0,0,4
20231012-vo3285,2,0,0,0,3,11,72,213,200,81,0,0,0,0,14,0,0,44
20231017-r11125,217,0,0,2,0,1,3,13,54,799,0,0,0,0,7,0,10,0
20231019-r41125,2,0,0,0,13,66,119,209,285,276,0,0,0,0,39,1,0,0
20231023-r11126,105,0,0,0,0,0,1,19,86,796,0,0,0,0,3,0,0,0
20231026-vo3299,45,1,1,3,27,98,154,260,363,51,0,0,0,0,5,0,94,0
20231030-r11127,219,1,0,1,1,4,10,32,85,598,0,0,0,0,1,0,10,0
20231102-vo3306,0,0,0,0,6,18,53,95,90,48,0,0,0,0,0,0,327,0
20231106-r11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224
20231109-r41128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456
20231113-r11129,715,0,0,0,0,0,2,4,21,302,0,0,0,0,1,1,6,212
20231116-vr2304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0
20231120-r11130,157,0,0,0,1,2,4,50,90,592,0,0,0,0,3,1,2,26
20231123-vo3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
20231127-r11131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806
20231130-r41131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224
20231204-r11132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688
20231207-vo3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208
20231211-r11133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0
20231213-vo3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231214-r41133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534
20231218-r11134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20231220-r41134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240103-vo4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240104-r41136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240111-r41137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240117-vo4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240118-r41138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240125-r41139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240201-r41140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240207-vr2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0
20240208-r41141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240214-vo4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,0
20240215-r41142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1028,0
20240222-r41143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
