VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20220818-vo2230,0,0,0,0,1,2,4,24,299,89,0,0,0,0,2,0,0,1033
20220915-vr2205,77,0,1,9,38,133,154,642,2990,2082,0,0,0,0,45,24,1302,1016
20221020-vo2293,0,0,0,0,0,7,30,69,319,120,0,0,0,0,11,0,0,250
20221109-vr2206,4,0,0,0,2,6,5,66,243,161,0,0,0,0,1,0,127,0
20221214-vo2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892
20230125-vr2301,5,0,1,1,3,15,41,179,422,371,0,0,0,0,48,36,2,0
20230322-vo3081,1,0,0,1,8,25,60,213,237,77,0,0,0,0,87,32,0,0
20230504-vo3124,0,1,1,0,6,13,64,192,307,223,0,0,0,0,58,3,0,284
20230531-vr2302,87,0,1,4,14,41,82,254,481,498,0,0,0,0,80,67,807,0
20230614-vo3165,0,0,0,1,6,18,71,179,105,71,0,0,0,0,24,1,0,0
20230629-vo3180,0,0,0,0,1,9,47,111,268,155,0,0,0,0,30,3,3,419
20230703-r11110,536,0,0,0,0,0,1,6,20,405,0,0,0,0,0,0,30,0
20230706-r41110,0,0,0,0,1,6,18,57,89,116,0,0,0,0,7,0,0,486
20230710-r11111,95,0,0,0,0,0,4,18,104,745,0,0,0,0,0,0,18,0
20230713-r41111,37,0,1,0,1,16,14,34,145,526,0,0,0,0,5,13,20,18
