VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20190701-r1901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066
20190704-r4901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804
20190722-r1904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888,0
20190729-r1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20190805-r1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1608
20190812-r1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148
20190819-r1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034
20190826-r1909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662
20190902-r1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676
20190909-r1911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1364
20190916-r1912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162
20190923-r1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944
20190930-r1914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
20191008-r1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191014-r1916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010
20191021-r1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248
20191028-r1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191104-r1919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900
20191111-r1920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191118-r1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191125-r1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191202-r1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191209-r1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191217-r1925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191223-r1926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946
20191230-r1927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778
20200102-r4927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478
20200107-r1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200113-r1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4608
20200121-r1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200127-r1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2156
20200203-r1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200210-r1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080
20200217-r1934,353,0,0,0,0,0,0,0,3,613,0,0,0,0,0,1,2,0
20200224-r1935,323,0,0,0,0,0,0,0,2,509,0,0,0,0,0,0,0,0
20200309-r1937,584,0,0,0,0,1,0,3,16,928,0,0,0,0,4,0,2,0
20200316-r1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200323-r1939,194,0,0,0,0,0,0,0,1,225,0,0,0,0,0,0,2,0
20200330-r1940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200402-r4940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1368
20200406-r1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206
20200414-r1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200420-r1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1120
20200427-r1944,72,0,0,0,0,0,0,4,5,332,0,0,0,0,0,3,0,0
20200504-r1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200511-r1946,10,0,0,0,0,0,3,11,53,379,0,0,0,0,13,1,0,34
20200518-r1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200526-r1948,21,0,0,0,0,0,2,8,58,669,0,0,0,0,0,0,0,278
20200602-r1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
