VgosDB,Total_0,Total_1,Total_2,Total_3,Total_4,Total_5,Total_6,Total_7,Total_8,Total_9,Total_B,Total_D,Total_E,Total_F,Total_G,Total_H,Total_N,Total_-
20171114-t2122,30,0,0,0,0,2,5,10,17,96,0,0,0,0,0,0,0,398
20171123-eurd03,9,0,0,0,0,0,0,7,108,931,0,0,0,0,1,0,0,0
20171221-eurd04,2,0,0,0,0,0,0,8,81,1107,0,0,0,0,0,0,0,0
20180213-t2123,167,0,0,0,1,2,16,57,92,683,0,0,0,0,3,1,12,172
20180214-eur147,390,0,0,0,1,0,5,42,221,705,0,0,0,0,5,1,246,0
20180424-t2124,37,0,0,0,0,2,2,16,37,346,0,0,0,0,4,0,2,176
20180502-r1840,31,0,0,0,0,3,11,28,106,1163,0,0,0,0,6,4,10,0
20180507-eurd05,19,0,0,0,0,0,5,50,138,1164,0,0,0,0,0,0,84,0
20180508-r1841,15,0,0,0,0,5,17,34,92,924,0,0,0,0,5,0,0,96
20180514-r1842,17,0,0,0,0,1,1,9,87,1023,0,0,0,0,0,0,2,0
20180515-t2125,50,0,0,0,0,2,8,32,102,608,0,0,0,0,1,3,28,0
20180522-r1843,31,0,0,0,0,0,2,20,118,1503,0,0,0,0,6,0,2,2
20180529-r1844,11,0,0,0,0,1,3,22,95,1076,0,0,0,0,0,0,0,0
20180604-r1845,13,0,0,1,1,4,12,27,83,663,0,0,0,0,0,0,0,410
20180618-r1847,25,0,0,1,0,0,0,6,51,689,0,0,0,0,0,0,2,518
20180625-r1848,25,0,0,0,3,4,12,35,138,733,0,0,0,0,1,1,0,0
20180627-rd1804,21,0,0,0,0,0,0,2,11,80,0,0,0,0,0,0,0,0
20180702-r1849,54,0,0,0,1,9,3,38,244,1219,0,0,0,0,3,1,34,0
20180703-t2126,260,0,0,0,0,0,1,4,19,272,0,0,0,0,2,2,124,194
20180704-eurd06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1074,0
20180709-r1850,7,0,0,0,0,1,0,6,17,172,0,0,0,0,1,0,2,684
20180716-r1851,64,0,0,0,0,2,1,22,128,946,0,0,0,0,1,2,2,136
